UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
Vanessa Mareco,@VaneMareco24,2023-10-30T16:24:59.000Z,"Vanessa Mareco
@VaneMareco24
·
4hReplying to 
@RealEmirHan",0,0,0,88,0.00,"https://pbs.twimg.com/profile_images/1698646718219161600/R13G9Rbc_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/264a.svg, https://abs-0.twimg.com/emoji/v2/svg/1f984.svg, https://abs-0.twimg.com/emoji/v2/svg/1f9ed.svg, https://abs-0.twimg.com/emoji/v2/svg/1f4da.svg, https://abs-0.twimg.com/emoji/v2/svg/2693.svg, https://abs-0.twimg.com/emoji/v2/svg/2638.svg, https://pbs.twimg.com/media/F9s2b6mWsAAMQS2?format=jpg&name=900x900, https://pbs.twimg.com/media/F9s2eppWoAAmCtl?format=jpg&name=900x900, https://pbs.twimg.com/media/F9s2glLWwAEDOZA?format=jpg&name=small"
ExileComicsNY,@ComicsExile,2023-10-30T16:21:07.000Z,"ExileComicsNY
@ComicsExile
·
4h20%Off ALL Graphic Novels, Manga & Novels at Exile Comics! 10/2/23 to 10/31/23 #ExileComicsNY #Bronx #NYC #comics #dccomics #Marvel #Kodansha #Indie #OnePiece #Naruto #DragonBall #Thor #XMen #StarWars #SpiderMan #Batman #Superman #WonderWoman #Avatar #LOTR #Pokémon #JujutsuKaisen",0,0,1,75,1.33,"https://pbs.twimg.com/profile_images/1553826201709445123/v_fsOZKY_x96.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1719026550174015488/pu/img/4CcTHKst7HF_tFRY.jpg"
The Lego Closet,@lego0722,2023-10-30T16:20:36.000Z,"The Lego Closet
@lego0722
·
4hHobbiton I built as an entry for the LEGO ideas lotr contest.

#lego #legoideas #legomoc #legolotr #lotr #lordoftherings #legodisplay #hobbiton #shire #bagend",0,0,5,65,7.69,"https://pbs.twimg.com/profile_images/1092943691621322752/ygQS6zOm_x96.jpg, https://pbs.twimg.com/media/F9s1eZmXkAAmUzA?format=jpg&name=small, https://pbs.twimg.com/media/F9s1eZmX0AElHnH?format=jpg&name=small, https://pbs.twimg.com/media/F9s1eZiWgAA9-dp?format=jpg&name=small, https://pbs.twimg.com/media/F9s1fLZXEAE2Pxw?format=jpg&name=small"
Tolkien Proverbs,@TolkienProverbs,2023-10-30T16:14:41.000Z,"Tolkien Proverbs
@TolkienProverbs
·
4hWhat was lost may yet be found. SARUMAN. #Tolkien #LOTR",0,6,34,1389,2.88,https://pbs.twimg.com/profile_images/2489224204/jrumr2kne5lkux5kwzn5_x96.jpeg
Lorick Buulia,@LeBuulia,2023-10-30T16:11:44.000Z,"Lorick Buulia
@LeBuulia
·
4hPetite vidéo #LOTR du soir : https://youtu.be/8aRw0lZn0g0?si=ngHHmq-tjvnxao54…

On y parle de Saruman le ""Pas tout à fait"" Blanc xD

Si vous voulez m'aider : Partagez la vidéo <3 ! merci beaucoup !!!",0,1,2,137,2.19,"https://pbs.twimg.com/profile_images/1611426778337185794/s2HARLM1_x96.jpg, https://pbs.twimg.com/card_img/1719024136045854720/8q93bzuO?format=jpg&name=small"
Swords Kingdom,@SwordsKingdom,2023-10-30T14:24:56.000Z,"Swords Kingdom
@SwordsKingdom
·
6hSting Sword Replica from Lord of the Rings

https://swordskingdom.com/https-truedamascus-com-woo_product_design_previewtrueblog_id393950-19…

Sting Sword is a sword given to Frodo Baggins by his cousin Bilbo, the original Ring bearer. 
#lordoftherings #lotr #tolkien #middleearth #thehobbit #jrrtolkien #hobbit #gandalf #legolas #aragorn",0,0,0,7,0.00,"https://pbs.twimg.com/profile_images/1544274681561337858/5wlFD3G4_x96.png, https://pbs.twimg.com/media/F9sa_5CbgAAvUDf?format=png&name=900x900, https://pbs.twimg.com/media/F9sa_5DakAA5Jo7?format=png&name=small, https://pbs.twimg.com/media/F9sa_5EaAAAFLKW?format=jpg&name=small"
Swordskingdom UK,@Swordskingdom2,2023-10-30T14:12:38.000Z,"Swordskingdom UK
@Swordskingdom2
·
6hSting Sword Replica from Lord of the Rings

https://swordskingdom.com/https-truedamascus-com-woo_product_design_previewtrueblog_id393950-19…

Sting Sword is a sword given to Frodo Baggins by his cousin Bilbo, #lordoftherings #lotr #tolkien #middleearth #thehobbit #jrrtolkien #hobbit #gandalf #legolas #aragorn #thelordoftherings #fantasy #frodo #sauro",0,0,0,10,0.00,"https://pbs.twimg.com/profile_images/1373189985176797186/EAk6zgKT_x96.jpg, https://pbs.twimg.com/media/F9sYKapbcAASAVT?format=png&name=900x900, https://pbs.twimg.com/media/F9sYKaoagAAmGmC?format=png&name=small, https://pbs.twimg.com/media/F9sYKaqaIAASz3V?format=jpg&name=small"
Swordskingdom UK,@Swordskingdom2,2023-10-30T14:08:18.000Z,"Swordskingdom UK
@Swordskingdom2
·
6hSting Sword Replica from Lord of the Rings

https://swordskingdom.com/https-truedamascus-com-woo_product_design_previewtrueblog_id393950-19…

Sting Sword is a sword given to Frodo Baggins by his cousin Bilbo,
#lordoftherings #lotr #tolkien #middleearth #thehobbit #jrrtolkien #hobbit #gandalf #legolas #aragorn #thelordoftherings #fantasy #frodo",0,0,0,11,0.00,"https://pbs.twimg.com/profile_images/1373189985176797186/EAk6zgKT_x96.jpg, https://pbs.twimg.com/media/F9sXJ-raUAA54VZ?format=png&name=900x900, https://pbs.twimg.com/media/F9sXJ-vaYAARg1-?format=png&name=small, https://pbs.twimg.com/media/F9sXJ-waEAAJeKu?format=jpg&name=small"
Sacramento Extra Life,@SacExtraLife,2023-10-30T14:01:38.000Z,"Sacramento Extra Life
@SacExtraLife
·
6hLAST WEEK to enter to win! Our team is partnering with 
@CMNatUCDavis
 to give away ONE Lego Rivendell set!

Entries are $5 each - check our Team page for more information and a list of participating Team members.

https://extra-life.org/index.cfm?fuseaction=donorDrive.team&teamID=63338…

#EXTRALIFE #changekidshealth #Lego #LOTR",0,1,4,29,17.24,"https://pbs.twimg.com/profile_images/1382443546943229959/0beG5KPF_x96.jpg, https://pbs.twimg.com/media/F9sVtKZXoAEd0lF?format=jpg&name=medium"
Arwen McCain,@arwenmccain,2023-10-30T13:52:24.000Z,"Arwen McCain
@arwenmccain
·
7hThe Halloween party was a blast, and I even had people come up to me and guess correctly on my costume, which was #RosieCotton from #lotr Meanwhile, my better half was a #browncoat from #firefly",0,0,4,80,5.00,"https://pbs.twimg.com/profile_images/1692951121952649216/ZEqJYgQJ_x96.jpg, https://pbs.twimg.com/media/F9sTk-NXoAA5yGg?format=jpg&name=small, https://pbs.twimg.com/media/F9sTk-QXAAADGJS?format=jpg&name=small, https://pbs.twimg.com/media/F9sTk-NW8AE--4e?format=jpg&name=small, https://pbs.twimg.com/media/F9sTk-MX0AAPrQU?format=jpg&name=small"
ChrisMarshall,@NMarshall808,2023-10-30T13:38:19.000Z,"ChrisMarshall
@NMarshall808
·
7hFortnightly litter pick done in miserable weather. Now time for a Monday matinee. Not watched LOTR for a while, but this series is always entertaining.
#nowwatching #LOTR #DVD",3,0,8,220,3.64,"https://pbs.twimg.com/profile_images/1711493388615172096/oRRTDhdy_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f3f4-e0067-e0062-e0065-e006e-e0067-e007f.svg, https://pbs.twimg.com/media/F9sQWodWUAA6j9s?format=jpg&name=small, https://pbs.twimg.com/media/F9sQW9RXAAAhFlE?format=jpg&name=small, https://pbs.twimg.com/media/F9sQXVAXcAAmwE9?format=jpg&name=small, https://pbs.twimg.com/media/F9sQXrTW0AAx0tM?format=jpg&name=small"
lunar.sigil,@lunar_sigil,2023-10-30T13:36:16.000Z,"lunar.sigil
@lunar_sigil
·
7hThéoden's Battle Cry. My art in #celtic style. 

#calligraphy #tolkien #middleearth #LoTR #lordoftherings #JRRT",0,5,13,242,7.44,"https://pbs.twimg.com/profile_images/1408819309497958400/QbNl-TEn_x96.jpg, https://pbs.twimg.com/media/F9sPQIvWcAAN2kX?format=jpg&name=900x900, https://pbs.twimg.com/media/F9sPQIvXsAAsBni?format=jpg&name=900x900"
