UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
Joe-masaro-Gianoglio,@rollers_studio,2023-10-27T02:35:17.000Z,"Joe-masaro-Gianoglio
@rollers_studio
·
Oct 26Guess what he's thinking now ..
#tupac #Digitalpainting #DigitalPortrait #lol #JadaPinkettSmith #keefeD 
@jamarispeaks",0,0,0,245,0.00,"https://pbs.twimg.com/profile_images/789851539/paint_roller_2009_oct_x96.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1717731650816405504/pu/img/sJFSYs1MsxxuODr0.jpg"
LohKokChee,@LohkokcheeNZ,2023-10-27T02:25:58.000Z,"LohKokChee
@LohkokcheeNZ
·
Oct 26Good morning. 'Goddess of the Sea Dragon' 海龍公主 series.  #digitalportrait #ancientmyth #nftart   #digitalart #digitalpainting #AIart #artgallery #nftartist #modernart #contemporaryart #fineart",0,0,2,34,5.88,"https://pbs.twimg.com/profile_images/1717730551006928896/BbYBSzBx_x96.jpg, https://pbs.twimg.com/media/F9aZjRAaEAAOYc4?format=jpg&name=medium"
Digital Art Oil Painting,@AdamidisArt,2023-10-26T17:17:49.000Z,"Digital Art Oil Painting
@AdamidisArt
·
Oct 26Digital portrait painting with the astounding MA-BRUSHES!!
https://adamidis-art.com/ma-brushes/
#digitalpainting #conceptart #digitalportrait #digital_painting #digitalart #digitalartist #digitalartwork #digital_art #photoshop #illustration #illustrationart #photoshopartist #paintings",0,0,1,54,1.85,https://pbs.twimg.com/profile_images/1658893878378782720/zrgwzP5U_x96.jpg
Loris Gavazzi,@gavazzi_loris,2023-10-26T12:35:23.000Z,"Loris Gavazzi
@gavazzi_loris
·
Oct 26it's time for me to finish The GOT Project (I mean post the others)
#gameofthrones #got #jonsnow #aegontargaryen #stark #snow #characterart #characterportrait #digital #digitalportrait #digitalart #digitalportraits #digitalportraitpainting
https://instagram.com/lorisgavazziart/…",0,0,0,36,0.00,"https://pbs.twimg.com/profile_images/1628061271668015107/r_t3j8s4_x96.png, https://pbs.twimg.com/media/F9XbUQtXEAAehhY?format=jpg&name=small, https://pbs.twimg.com/media/F9XbWNhXMAAL2zi?format=jpg&name=small"
Zbynek KYSELA,@DrKysela,2023-10-26T11:06:10.000Z,"Zbynek KYSELA
@DrKysela
·
Oct 26"" Artwork No. 1387  ""
Curious for more? Click the link in my bio! 
.
.
.
#digitaldrawing #digitalart #digitalportrait #pencil #pencilportrait #portrait #sketch #artforsale #commissionedart #bouchac #ladyterezie",0,0,8,141,5.67,"https://pbs.twimg.com/profile_images/948187738993516544/p8G0-r47_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/2b50.svg, https://abs-0.twimg.com/emoji/v2/svg/270f.svg, https://abs-0.twimg.com/emoji/v2/svg/2764.svg, https://abs-0.twimg.com/emoji/v2/svg/261d.svg, https://pbs.twimg.com/media/F9XHL9CWAAA58vJ?format=jpg&name=medium"
"Igor ""Chakal""",@chakal_igor,2023-10-25T17:47:11.000Z,"Igor ""Chakal""
@chakal_igor
·
Oct 252016 - Trying my hand at digital portraits, but realism isn't really my cup of tea. 
Portrait of 
@Con_Tomlinson
, errr, I mean, American Psycho. If you haven't watched it yet, do it.
#americanpsycho #christianbale #digitalportrait",0,2,18,759,2.64,"https://pbs.twimg.com/profile_images/1693627115164385281/DopdPe6E_x96.jpg, https://pbs.twimg.com/profile_images/1626669901220831233/8XdvC2ZM_bigger.jpg, https://pbs.twimg.com/media/F9TY6JFWIAAKmGD?format=jpg&name=medium"
Zbynek KYSELA,@DrKysela,2023-10-25T06:23:25.000Z,"Zbynek KYSELA
@DrKysela
·
Oct 25"" Artwork No. 1383  ""
Curious for more? Click the link in my bio! 
.
.
.
#digitaldrawing #digitalart #digitalportrait #pencil #pencilportrait #portrait #sketch #artforsale #commissionedart #bouchac #ladyterezie",1,0,3,127,2.36,"https://pbs.twimg.com/profile_images/948187738993516544/p8G0-r47_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/2b50.svg, https://abs-0.twimg.com/emoji/v2/svg/270f.svg, https://abs-0.twimg.com/emoji/v2/svg/2764.svg, https://abs-0.twimg.com/emoji/v2/svg/261d.svg, https://pbs.twimg.com/media/F9Q84hPXYAA2UF0?format=jpg&name=medium"
Sumera Irshad,@SumeraIrshad545,2023-10-25T00:17:11.000Z,"Sumera Irshad
@SumeraIrshad545
·
Oct 24#sumerairshad #lineart #digitalportrait #portrait #artofsellingyourself #digitalartists #digitalcreator 
#hair #hairillustrations",0,0,0,2,0.00,https://pbs.twimg.com/profile_images/1637253721896673280/eisw0Kb8_x96.jpg
Manchester United - Live Updates 24/7,@ManUnitedLU_247,2023-10-24T07:34:46.000Z,"Manchester United - Live Updates 24/7
@ManUnitedLU_247
·
Oct 24 ENGLAND'S GREATEST

Sir Bobby Charlton's legacy will forever remain etched in our hearts 

 
@cliverotin
.
.
.
#fanart #vectorartwork #graphicdesign #digitalart #digitalportrait #SirBobbyCharlton #manchesterunited #manutd #unitedfanart @manchesterunited 
Show more",0,0,2,336,0.60,"https://pbs.twimg.com/profile_images/1319683553656033280/S6fOFhGP_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f3f4-e0067-e0062-e0065-e006e-e0067-e007f.svg, https://abs-0.twimg.com/emoji/v2/svg/1f54a.svg, https://abs-0.twimg.com/emoji/v2/svg/1f3a8.svg, https://pbs.twimg.com/media/F9MDn5GWQAAuny2?format=jpg&name=medium"
heArtYet,@Yet_D,2023-10-24T04:28:25.000Z,"heArtYet
@Yet_D
·
Oct 24#SB19_JOSH #JoshCullen #digitalpainting #digitalportrait #digitalart #sb19_fanart 
@JoshCullen_s
 @SB19Official",4,33,74,1436,7.45,"https://pbs.twimg.com/profile_images/1708878582620282880/CplFhhdK_x96.jpg, https://pbs.twimg.com/media/F9LY96WbAAAm0iz?format=jpg&name=medium"
