UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
Vick Cabroni,@condecabroni,2023-10-19T15:36:03.000Z,"Vick Cabroni
@condecabroni
·
Oct 19#BingAI #bingimagecreator ""Shrek VS Gandalf in Pixar movie style"" #lotr #shrek",0,2,5,441,1.59,"https://pbs.twimg.com/profile_images/958292924286021632/y3-0sIlq_x96.jpg, https://pbs.twimg.com/media/F80B02IXoAAAWGR?format=jpg&name=small, https://pbs.twimg.com/media/F80B04DW0AA7rCN?format=jpg&name=small, https://pbs.twimg.com/media/F80B06IWQAAFdJG?format=jpg&name=small, https://pbs.twimg.com/media/F80B08OXgAA4e5G?format=jpg&name=small"
Alexandr ,@sanya_lekhman,2023-09-30T06:36:14.000Z,"Alexandr 
@sanya_lekhman
·
Sep 30I've created a new part of the movie The Lord of the Rings: Humans vs Orcs 
#Bing #BingImageCreator #DALLE3 #LordoftheRings #LOTR",0,0,1,212,0.47,"https://pbs.twimg.com/profile_images/1057949965190905856/0bepQQ6v_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f602.svg, https://pbs.twimg.com/media/F7QQEKIWwAAFEvV?format=jpg&name=medium"
Alexandr ,@sanya_lekhman,2023-04-11T05:10:15.000Z,"Alexandr 
@sanya_lekhman
·
Apr 11The Fangorn Forest from The Lord of the Rings is created with 
@bing
 AI 
#BingAI #BingImageCreator #LordoftheRings #LOTR",1,0,3,263,1.14,"https://pbs.twimg.com/profile_images/1057949965190905856/0bepQQ6v_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f970.svg, https://pbs.twimg.com/media/FtaK7lzWwAIQrTO?format=jpg&name=medium"
