UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
Derbloggy (ReAnimated_Lee),@Derbloggy,2023-10-10T21:07:39.000Z,"Derbloggy (ReAnimated_Lee)
@Derbloggy
·
Oct 10Did a bunch of sketching over the weekend, planning on doing some ""inktober"", but so far I've only had time for a few thumbnails. So it might just end up being thumbnailtober pt1
#LOTR #thehobbit  #drawing #digitalart #artist #sketching #doodle  #amtgard #larp #fantasyfightgard",0,0,1,63,1.59,"https://pbs.twimg.com/profile_images/828458683348766720/su9TF0Su_x96.jpg, https://pbs.twimg.com/media/F8G3Xl2W4AATsjd?format=jpg&name=small, https://pbs.twimg.com/media/F8G3XlzWcAAR42m?format=png&name=small, https://pbs.twimg.com/media/F8G3Xl1WUAEyClP?format=jpg&name=small, https://pbs.twimg.com/media/F8G3Xl1WAAARz6Q?format=jpg&name=small"
Catari_art,@Catari_art,2023-10-10T16:57:54.000Z,"Catari_art
@Catari_art
·
Oct 10Inktober 2023
3 Path / Camino
@inktober
 #artgallery #digitalartist #conceptartist #concept #conceptart #digitalart #art
#inktober #inktober2023 #inktober23path #inktober2023path #inktober23camino #inktober2023camino 
#Path #camino #lotr #gandalf #balrog #khazaddum #puente",0,0,2,37,5.41,"https://pbs.twimg.com/profile_images/1359407875777511433/_fDjTLat_x96.jpg, https://pbs.twimg.com/media/F8F-ChxXwAEhWXR?format=jpg&name=medium"
Florencziya,@Florencziya,2023-10-09T13:47:00.000Z,"Florencziya
@Florencziya
·
Oct 9#LOTR #Hobbit
#thehobbit #Thranduil #art #digitalart #fanart #ArtistOnTwitter #illustration",0,0,2,53,3.77,"https://pbs.twimg.com/profile_images/1699409696300359680/8f4wPAaN_x96.jpg, https://pbs.twimg.com/media/F8AI-LSXcAE9r6g?format=jpg&name=medium"
N I,@anthony_pears,2023-10-06T06:56:43.000Z,"N I
@anthony_pears
·
Oct 6Training partners. 

#Filmmaker #Filmmaking #FilmTwitter #filmmakers #photographer #laughter #AIart 
 #graffiti  #martialarts #London #woman #Fights # #digitalart #pirate #GOT #LOTR #TREASURE #Medieval #AIartists",0,0,3,133,2.26,"https://pbs.twimg.com/profile_images/1714558914652446720/LyK9wCc4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f601.svg, https://abs-0.twimg.com/emoji/v2/svg/2620.svg, https://pbs.twimg.com/media/F7vN6TNXkAAg4gP?format=jpg&name=small, https://pbs.twimg.com/media/F7vN6TmWwAAtczT?format=jpg&name=small, https://pbs.twimg.com/media/F7vN6VrW0AAPOwU?format=jpg&name=small, https://pbs.twimg.com/media/F7vN6XmWoAAHTAX?format=jpg&name=small"
N I,@anthony_pears,2023-10-05T16:08:03.000Z,"N I
@anthony_pears
·
Oct 5Elf attack! 

#photographer #laughter #AIart 
 #graffiti  #martialarts #London #woman  #digitalart #pirate #GOT #LOTR #TREASURE #Medieval #AIartists #BERSERK #devil #BatmanDay  #heavymetal #deathmetal #AntManAndTheWaspQuantumania #Marvel  #comics #ComicCon #dccomics",0,0,1,110,0.91,"https://pbs.twimg.com/profile_images/1714558914652446720/LyK9wCc4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f480.svg, https://abs-0.twimg.com/emoji/v2/svg/1f601.svg, https://pbs.twimg.com/media/F7sCz2_XsAAqypK?format=jpg&name=medium"
Ghastwood_niall,@Ghastwood_niall,2023-10-02T15:37:03.000Z,"Ghastwood_niall
@Ghastwood_niall
·
Oct 2#inktober23 - #day2 - #spiders
#shelob #lotr #procreate #digitalart",0,0,1,64,1.56,"https://pbs.twimg.com/profile_images/1268071039717834752/3qURt1YO_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f3f4-e0067-e0062-e0073-e0063-e0074-e007f.svg, https://pbs.twimg.com/profile_images/1268071039717834752/3qURt1YO_normal.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f3f4-e0067-e0062-e0073-e0063-e0074-e007f.svg, https://pbs.twimg.com/media/F7YGkNDWwAAN0_O?format=jpg&name=240x240"
N I,@anthony_pears,2023-10-02T06:32:24.000Z,"N I
@anthony_pears
·
Oct 2Parrot elf 

#Filmmaker #Filmmaking #FilmTwitter #filmmakers #photographer #laughter #AIart 
 #graffiti  #martialarts #London #woman #Fights # #digitalart #pirate #GOT #LOTR #TREASURE #Medieval #AIartists #elfgirl #parro",0,0,1,148,0.68,"https://pbs.twimg.com/profile_images/1714558914652446720/LyK9wCc4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f9dd-200d-2642-fe0f.svg, https://abs-0.twimg.com/emoji/v2/svg/1f99c.svg, https://pbs.twimg.com/media/F7aiSVLX0AAI2SJ?format=jpg&name=medium"
N I,@anthony_pears,2023-10-01T08:55:50.000Z,"N I
@anthony_pears
·
Oct 1Dare to walk into the mosquitoes' realm?   

#Filmmaker #Filmmaking #FilmTwitter #filmmakers #photographer #laughter #AIart 
 #graffiti  #martialarts #London #woman #Fights # #digitalart #pirate #GOT #LOTR #TREASURE #Medieval #AIartists",0,1,3,160,2.50,"https://pbs.twimg.com/profile_images/1714558914652446720/LyK9wCc4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f479.svg, https://abs-0.twimg.com/emoji/v2/svg/1f99f.svg, https://pbs.twimg.com/media/F7V5k4yXYAIfNqZ?format=jpg&name=medium"
N I,@anthony_pears,2023-10-01T07:34:30.000Z,"N I
@anthony_pears
·
Oct 1Ladybird demon. 

#photographer #laughter #AIart 
 #graffiti  #martialarts #London #woman  # #digitalart #pirate #GOT #LOTR #TREASURE #Medieval #AIartists #BERSERK #devil #BatmanDay #WINGS #heavymetal #deathmetal",0,0,2,127,1.57,"https://pbs.twimg.com/profile_images/1714558914652446720/LyK9wCc4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f479.svg, https://abs-0.twimg.com/emoji/v2/svg/1f601.svg, https://pbs.twimg.com/media/F7Vm4CrWgAArSBX?format=jpg&name=medium"
N I,@anthony_pears,2023-09-30T21:33:32.000Z,"N I
@anthony_pears
·
Sep 30The rise of the insect gods.

#Filmmaker #Filmmaking #FilmTwitter #filmmakers #photographer #laughter #AIart 
 #graffiti  #martialarts #London #woman  # #digitalart #pirate #GOT #LOTR #TREASURE #Medieval #AIartists #BERSERK #devil #BatmanDay #WINGS #heavymetal #deathmetal",0,0,2,76,2.63,"https://pbs.twimg.com/profile_images/1714558914652446720/LyK9wCc4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/2694.svg, https://pbs.twimg.com/media/F7TdGzbWYAAiBII?format=jpg&name=small, https://pbs.twimg.com/media/F7TdGzYW0AAyrSE?format=jpg&name=small, https://pbs.twimg.com/media/F7TdGzwXkAAS4vp?format=jpg&name=small"
