UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
jovanadart,@jovanadart,2023-10-31T16:58:25.000Z,"jovanadart
@jovanadart
·
23h15 hours into it 
#gandalf #lotr #drawing",0,0,1,17,5.88,"https://pbs.twimg.com/profile_images/1711393047286550528/PuvfMymn_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/270d-1f3fb.svg, https://abs-0.twimg.com/emoji/v2/svg/1f90d.svg, https://pbs.twimg.com/ext_tw_video_thumb/1719398200413470720/pu/img/surnOTtU-jtWNfEa.jpg"
jovanadart,@jovanadart,2023-10-30T17:44:16.000Z,"jovanadart
@jovanadart
·
Oct 30Okay, I've been preparing myself for this type of art for moths and I think, um, this is kinda working?? The more I work the more I feel like my happy heart is about to EXPLODE! Let's do this! 
#gandalf #lotr #art #drawing #LordOfTheRings",0,0,1,78,1.28,"https://pbs.twimg.com/profile_images/1711393047286550528/PuvfMymn_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1fae3.svg, https://abs-0.twimg.com/emoji/v2/svg/1f60d.svg, https://abs-0.twimg.com/emoji/v2/svg/270d-1f3fb.svg, https://pbs.twimg.com/media/F9tIqaXWcAA1RRL?format=jpg&name=medium"
world tssarru,@world_tsar,2023-10-30T11:50:08.000Z,"world tssarru
@world_tsar
·
Oct 30""Human wave attack tactic is a frontal assault by densely concentrated infantry formations against an enemy line"" 
#human #wave #humanwave #tactic #attack #orc #orcs #LOTR #putin #Russia #war #comic #drawing  #execute #order #cannonfodder #WhiteHouse #LordsoftheRings",0,0,0,83,0.00,"https://pbs.twimg.com/profile_images/1399666150452219909/fotK_LVh_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f1fa-1f1e6.svg, https://abs-0.twimg.com/emoji/v2/svg/1f631.svg, https://pbs.twimg.com/media/F9r3nFbWsAA4jiy?format=jpg&name=medium"
jovanadart,@jovanadart,2023-10-29T19:18:02.000Z,"jovanadart
@jovanadart
·
Oct 29Went to forehead area just to rest my eyes a little. I truly can't wait to finish this piece! 
#gandalf #ianmckellen #lotr #art #drawing",0,0,2,114,1.75,"https://pbs.twimg.com/profile_images/1711393047286550528/PuvfMymn_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/270d-1f3fb.svg, https://pbs.twimg.com/media/F9oUiG-XwAAnly1?format=jpg&name=medium"
jovanadart,@jovanadart,2023-10-29T15:51:49.000Z,"jovanadart
@jovanadart
·
Oct 29Slowly but surely  Still have to do lots of details because I can't unsee anything 
Hope you like it 
#gandalf #drawing #art #LOTR",0,0,4,87,4.60,"https://pbs.twimg.com/profile_images/1711393047286550528/PuvfMymn_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/270d-1f3fb.svg, https://abs-0.twimg.com/emoji/v2/svg/1f629.svg, https://abs-0.twimg.com/emoji/v2/svg/1f923.svg, https://abs-0.twimg.com/emoji/v2/svg/1f90d.svg, https://pbs.twimg.com/media/F9nlVTwXYAAS41R?format=jpg&name=medium"
Rodrigo Khafre,@deux_maquina,2023-10-26T21:12:08.000Z,"Rodrigo Khafre
@deux_maquina
·
Oct 26Nazgul 

. 
. 
. 
.
.
 #digitalpainting #art #draw #drawing #drawings #sketch #digitalart #digitaldrawings #illustration #artwork #practicing #instaart #creative #picture #lordoftherings #lotr #nazgul

Show more
Show more",1,1,1,52,3.85,"https://pbs.twimg.com/profile_images/1676069987214032897/BI205BAB_x96.jpg, https://pbs.twimg.com/media/F9ZRr9yXIAAAw70?format=png&name=900x900"
Tony Kei,@TonyKeiArt,2023-10-23T17:21:38.000Z,"Tony Kei
@TonyKeiArt
·
Oct 23Nazgûl fan art

#nazgul #LOTR #LordOfTheRings #lotrart #illustrator #illustration #drawing #darkart #Tolkien",0,1,3,93,4.30,"https://pbs.twimg.com/profile_images/1716374502521679872/8Pyt2-kU_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/2728.svg, https://pbs.twimg.com/media/F9JAWcYXEAAXo3I?format=jpg&name=medium"
DopAi Arts • Dark • Epic •,@DopAi_Dark,2023-10-23T09:56:00.000Z,"DopAi Arts • Dark • Epic •
@DopAi_Dark
·
Oct 23I Wont!
#horror #fantasy #fantasyart #epic #epicart #aiart #illustration #darkangel #gothic #skeleton #gothgirl #gothfashion #mahafsoun #artwoks #monsterverse #breaking #cgi #drawing #lotr #whiteorc #gothic #myth #mythology",0,0,7,376,1.86,"https://pbs.twimg.com/profile_images/1469940563667562497/Y9FahTVn_x96.jpg, https://pbs.twimg.com/media/F9HaTQcXYAAPqN2?format=jpg&name=medium"
DopAi Arts • Dark • Epic •,@DopAi_Dark,2023-10-23T09:55:34.000Z,"DopAi Arts • Dark • Epic •
@DopAi_Dark
·
Oct 23Get Over Here
#horror #fantasy #fantasyart #epic #epicart #aiart #illustration #darkangel #gothic #skeleton #gothgirl #gothfashion #mahafsoun #artwoks #monsterverse #breaking #cgi #drawing #lotr #whiteorc #gothic #myth #mythology",0,0,4,243,1.65,"https://pbs.twimg.com/profile_images/1469940563667562497/Y9FahTVn_x96.jpg, https://pbs.twimg.com/media/F9HZ57CXEAALNym?format=jpg&name=medium"
DopAi Arts • Dark • Epic •,@DopAi_Dark,2023-10-21T17:29:07.000Z,"DopAi Arts • Dark • Epic •
@DopAi_Dark
·
Oct 21Toxic Apocalypse 1 
#adventerouslady #adventure #aigirls #aibeauty #indianajones #horror #fantasy #fantasyart #epic #epicart #aiart #illustration #artwoks #monsterverse #breaking #cgi #drawing #lotr #whiteorc #gothic #myth #mythology",0,0,1,147,0.68,"https://pbs.twimg.com/profile_images/1469940563667562497/Y9FahTVn_x96.jpg, https://pbs.twimg.com/media/F8-uZoVXIAEq6lI?format=jpg&name=medium"
DrNesquikArt,@ArtDrNesquik,2023-10-21T17:28:25.000Z,"DrNesquikArt
@ArtDrNesquik
·
Oct 21You fool. No man can kill me
#LOTR #drawing",0,0,2,74,2.70,"https://pbs.twimg.com/profile_images/1541649991676137472/IN7hrPaU_x96.jpg, https://pbs.twimg.com/media/F8-uunKW0AAB4Em?format=jpg&name=medium"
DopAi Arts • Dark • Epic •,@DopAi_Dark,2023-10-21T13:03:55.000Z,"DopAi Arts • Dark • Epic •
@DopAi_Dark
·
Oct 21Conflict 1
#horror #fantasy #fantasyart #epic #epicart #aiart #illustration #artwoks #monsterverse #breaking #cgi #drawing #lotr #whiteorc #gothic #myth #mythology",0,0,7,219,3.20,"https://pbs.twimg.com/profile_images/1469940563667562497/Y9FahTVn_x96.jpg, https://pbs.twimg.com/media/F89xyUnWMAAJZGT?format=jpg&name=medium"
Chris,@Cobra_ss,2023-10-18T20:21:24.000Z,"Chris
@Cobra_ss
·
Oct 18I put a saddle on the Prancing Pony for day 18 of inktober

#art #artist #artistsontwitter #artwork #illustration #drawing #ink #pen #pencil #wip #sketch #sketchbook #inktober2023 #inktober #inktober2023saddle #lotr #prancingpony #pub #sign #lordoftherings #bree #fellowship",0,0,3,70,4.29,"https://pbs.twimg.com/profile_images/1629439584592355335/nEPSvnGY_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f400.svg, https://pbs.twimg.com/media/F8v5iSBWQAAfEB6?format=jpg&name=small, https://pbs.twimg.com/media/F8v5jITWoAAwRhO?format=jpg&name=900x900"
Shane Plays Geek Talk,@ShanePlays,2023-10-11T21:00:06.000Z,"Shane Plays Geek Talk
@ShanePlays
·
Oct 11""Wander""
Inktober 2023
#wander #inktober #inktober2023 #inktober2023wander 
@inktober
 #aragorn #strider #lotr #drawing #inkdrawing",0,0,2,61,3.28,"https://pbs.twimg.com/profile_images/627170025808482304/OVxpx3WF_x96.png, https://pbs.twimg.com/media/F8L_M38WAAAD2DE?format=png&name=small"
Derbloggy (ReAnimated_Lee),@Derbloggy,2023-10-11T15:02:01.000Z,"Derbloggy (ReAnimated_Lee)
@Derbloggy
·
Oct 11couple from last night, Legolas, sticking his face in.. Probably going to arrow an orc or something to hide the pain of his rejection.
#cartoon #art #drawing #artist #sketching #doodle  #journey #artistonfacebook #digitalsketches #larp #lotr #legolas #hobbit #dwarf #thehobbit",0,0,3,207,1.45,"https://pbs.twimg.com/profile_images/828458683348766720/su9TF0Su_x96.jpg, https://pbs.twimg.com/media/F8KtTN2WEAAyh46?format=jpg&name=medium"
