Timestamp,Image-Type,Text Sentiment,Word count,# of Hashtags,Quality of Images,Relevant Image,Face Presence,Colorfulness,Engagement Score
2023-06-29T21:22:14.000Z,0,0,17,5,1,1,-1,0.7207264947616910,4.40
2023-05-15T23:19:23.000Z,1,0,16,19,1,1,-1,9.658125431471520,4.40
2023-05-25T00:20:07.000Z,0,1,24,7,1,1,1,15.059451239620200,4.38
2023-06-23T17:29:58.000Z,1,0,17,18,1,-1,-1,9.91200505277443,4.35
2023-06-23T17:29:58.000Z,1,0,17,18,1,-1,-1,8.40498193696145,4.35
2023-09-14T20:26:50.000Z,0,1,5,8,1,1,1,1.7845922383463100,4.27
2023-02-24T18:26:16.000Z,0,0,8,14,1,1,1,9.24816845484529,4.17
2023-05-18T15:19:51.000Z,0,0,7,15,1,1,-1,18.46980580661250,3.95
2023-04-17T22:32:12.000Z,0,-1,32,12,1,1,1,18.203668204511900,3.95
2023-05-16T19:44:10.000Z,0,0,24,8,-1,1,1,14.427691717895900,3.94
2023-08-22T17:58:34.000Z,0,0,35,10,-1,-1,-1,6.10818781845593,3.93
2023-08-22T17:58:34.000Z,0,0,35,10,-1,-1,-1,7.298869723166760,3.93
2023-08-22T17:58:34.000Z,0,0,35,10,-1,-1,-1,8.46658544438458,3.93
2023-08-22T17:58:34.000Z,0,0,35,10,-1,-1,-1,5.651531174964790,3.93
2023-05-21T13:34:10.000Z,1,0,2,37,-1,-1,1,29.078936560645800,3.92
2023-05-21T13:34:10.000Z,1,0,2,37,-1,-1,1,6.476338824886750,3.92
2023-05-21T13:34:10.000Z,1,0,2,37,-1,-1,1,29.425642956328100,3.92
2023-05-21T13:34:10.000Z,1,0,2,37,-1,-1,1,8.369802639265590,3.92
2023-07-13T05:13:08.000Z,0,0,3,3,1,1,1,9.024624928742070,3.92
2023-07-13T05:13:08.000Z,0,0,3,3,1,1,1,11.960607475139700,3.92
2023-05-17T17:50:49.000Z,1,0,13,17,1,1,-1,1.4502818031133500,3.91
2023-05-17T17:50:49.000Z,1,0,13,17,1,1,-1,2.1797382795030700,3.91
2023-05-17T17:50:49.000Z,1,0,13,17,1,1,-1,4.118546346947900,3.91
2023-04-14T17:14:35.000Z,1,-1,13,10,1,1,1,8.528178963906610,3.91
2023-06-07T02:05:22.000Z,0,0,4,12,1,1,-1,28.60716584911790,3.85
2023-10-09T13:47:00.000Z,0,0,0,9,1,1,1,16.75096183212890,3.85
2022-12-20T14:03:03.000Z,0,0,18,13,-1,1,-1,1.3575948102959700,3.85
2022-12-20T14:03:03.000Z,0,0,18,13,-1,1,-1,4.9966239977033600,3.85
2023-05-09T21:36:01.000Z,0,0,12,7,-1,1,1,3.588765090121020,3.84
2023-10-16T05:40:32.000Z,0,0,18,13,1,1,1,18.189391089876700,3.81
2023-07-21T14:28:27.000Z,0,0,4,10,-1,1,0,14.691803831884500,3.77
2023-03-06T19:21:20.000Z,0,1,7,4,1,1,1,5.823808695375540,3.70
2023-08-20T17:57:19.000Z,0,0,0,0,1,1,-1,1.7610900178508600,3.67
2023-07-23T19:36:05.000Z,0,1,24,9,1,1,-1,8.918727144259590,3.63
2023-07-16T16:50:57.000Z,0,0,21,13,1,1,1,7.9363733156474500,3.61
2023-07-16T16:50:57.000Z,0,0,21,13,1,1,1,6.17226497801195,3.61
2023-04-07T23:27:37.000Z,0,0,5,7,1,1,-1,8.267349295262450,3.60
2023-08-28T14:41:58.000Z,0,0,0,19,1,1,-1,2.2663005170552900,3.60
2022-12-19T14:47:22.000Z,0,0,10,16,1,1,-1,2.2359744563725000,3.60
2022-12-19T14:47:22.000Z,0,0,10,16,1,1,-1,3.3541463672498200,3.60
2023-09-11T16:45:08.000Z,0,0,4,6,1,1,1,7.1810631261962800,3.57
2023-09-11T16:45:08.000Z,0,0,4,6,1,1,1,10.519354624776800,3.57
2023-08-21T18:47:54.000Z,-1,0,28,8,0,0,0,0.02082881171996850,3.53
2023-01-18T22:50:58.000Z,0,0,10,9,1,1,1,8.046128222964620,3.53
2023-04-21T19:29:59.000Z,0,,47,2,1,1,1,27.152337476711400,3.52
2023-10-27T18:56:53.000Z,0,0,2,22,1,1,-1,6.922013618995330,3.51
2023-10-27T18:56:53.000Z,0,0,2,22,1,1,-1,1.3129455207522200,3.51
2023-10-27T18:56:53.000Z,0,0,2,22,1,1,-1,12.417782448740700,3.51
2023-05-15T00:47:08.000Z,1,0,20,17,-1,1,-1,12.460845826945400,3.47
2023-03-04T20:25:17.000Z,1,0,5,11,1,1,-1,13.490178374640500,3.45
2023-08-04T13:59:59.000Z,0,1,17,5,1,1,1,11.652883919712300,3.39
2023-08-04T13:59:59.000Z,0,1,17,5,1,1,1,8.905499644797630,3.39
2023-08-04T13:59:59.000Z,0,1,17,5,1,1,1,16.65328148219870,3.39
2023-08-04T13:59:59.000Z,0,1,17,5,1,1,1,10.872886258818900,3.39
2023-09-22T05:29:54.000Z,0,0,7,3,1,1,1,0.8108731832611770,3.38
2023-09-22T05:29:54.000Z,0,0,7,3,1,1,1,1.1703468341204800,3.38
2023-09-22T05:29:54.000Z,0,0,7,3,1,1,1,0.4693197690263310,3.38
2023-09-22T05:29:54.000Z,0,0,7,3,1,1,1,1.3239245688352900,3.38
2023-10-12T00:27:08.000Z,0,0,33,5,1,1,1,10.72191467898240,3.36
2023-10-12T00:27:08.000Z,0,0,33,5,1,1,1,0.23727830153029400,3.36
2023-10-12T00:27:08.000Z,0,0,33,5,1,1,1,1.117151260299890,3.36
2023-04-24T16:11:18.000Z,0,0,4,15,1,-1,-1,3.983248599051300,3.33
2023-04-04T16:40:58.000Z,0,0,13,19,1,-1,-1,5.024545883924550,3.32
2023-04-04T16:40:58.000Z,0,0,13,19,1,-1,-1,5.485885551324390,3.32
2023-07-14T13:32:43.000Z,0,1,9,3,1,1,-1,21.55286733050610,3.30
2023-06-30T22:32:47.000Z,0,0,4,9,1,1,1,0.0,3.28
2023-08-18T09:09:27.000Z,0,1,20,5,1,1,1,9.196412418037430,3.28
2023-10-12T12:51:20.000Z,0,1,24,15,1,-1,1,22.29307013809600,3.27
2023-10-08T01:10:31.000Z,0,0,41,3,1,1,1,2.4150316090090300,3.27
2023-10-08T01:10:31.000Z,0,0,41,3,1,1,1,2.5224012942420700,3.27
2023-04-08T13:08:58.000Z,0,0,2,12,1,1,1,4.647169617438550,3.26
2023-02-07T17:25:20.000Z,0,1,16,6,1,1,1,2.7846860738613200,3.23
2023-08-12T19:49:40.000Z,0,0,0,0,-1,-1,-1,4.892214622989950,3.21
2023-08-12T19:49:40.000Z,0,0,0,0,-1,-1,-1,9.575152297168060,3.21
2023-04-05T15:58:09.000Z,0,1,14,15,1,-1,-1,8.007863820859660,3.20
2023-04-03T22:09:38.000Z,0,0,3,10,1,1,1,12.27980330923980,3.19
2023-01-19T14:34:30.000Z,1,0,9,8,1,1,-1,10.254590373474600,3.19
2023-07-21T23:47:38.000Z,1,1,15,5,1,1,1,8.475222944799830,3.17
2023-05-08T20:28:26.000Z,0,0,2,7,1,1,1,17.291383119733700,3.16
2023-05-08T20:28:26.000Z,0,0,2,7,1,1,1,12.31133481193190,3.16
2023-02-15T02:32:12.000Z,0,0,6,4,1,1,1,12.62936561778250,3.16
2023-08-10T20:09:58.000Z,0,0,13,6,1,1,-1,2.3888345975386100,3.12
2023-10-04T08:43:27.000Z,0,0,0,0,1,1,-1,0.8174679071976860,3.12
2023-04-04T05:40:47.000Z,0,0,17,14,1,1,1,1.6682638965483400,3.09
2023-04-04T05:40:47.000Z,0,0,17,14,1,1,1,5.6512485468985800,3.09
2023-04-20T18:45:29.000Z,0,1,14,10,1,1,1,4.929687801184610,3.09
2023-04-20T18:45:29.000Z,0,1,14,10,1,1,1,4.458038579959140,3.09
2023-09-07T14:22:15.000Z,0,0,3,3,1,1,1,7.983311506024280,3.08
2023-09-07T14:22:15.000Z,0,0,3,3,1,1,1,13.214820802018500,3.08
2023-06-03T08:30:26.000Z,0,0,1,7,1,1,1,3.861305338704170,3.06
2023-09-15T02:45:15.000Z,0,0,3,9,1,1,1,1.1508560266484000,3.05
2023-05-21T13:34:57.000Z,1,0,2,37,-1,-1,-1,7.01729665344505,3.03
2023-05-21T13:34:57.000Z,1,0,2,37,-1,-1,-1,7.4530584335447200,3.03
2023-05-21T13:34:57.000Z,1,0,2,37,-1,-1,-1,19.71484448956050,3.03
2023-05-21T13:34:57.000Z,1,0,2,37,-1,-1,-1,25.150531518942000,3.03
2023-05-20T16:07:12.000Z,1,0,9,19,1,1,1,22.89416220019760,3.03
2023-05-20T16:07:12.000Z,1,0,9,19,1,1,1,14.042023168963500,3.03
2023-03-15T22:09:41.000Z,0,0,0,13,1,1,-1,3.7934233875691800,3.03
2023-04-26T03:00:41.000Z,0,0,15,12,1,1,1,1.6066846321876800,3.01
2023-10-04T17:01:11.000Z,0,0,6,4,1,1,1,16.92873342026130,2.99
2023-10-04T17:01:11.000Z,0,0,6,4,1,1,1,17.161319816627000,2.99
2023-10-04T17:01:11.000Z,0,0,6,4,1,1,1,18.604764607370600,2.99
2023-02-15T07:19:13.000Z,0,0,25,12,1,1,1,6.903810372508700,2.96
2023-09-01T16:42:39.000Z,0,0,5,21,1,1,1,12.460545371572800,2.94
2023-04-03T21:58:39.000Z,1,-1,31,15,1,1,-1,11.813414680450600,2.93
2023-02-08T19:03:55.000Z,0,0,8,4,1,1,-1,2.7678049389645100,2.93
2023-02-08T19:03:55.000Z,0,0,8,4,1,1,-1,3.03254549058915,2.93
2023-05-04T19:01:39.000Z,0,0,0,0,1,1,1,0.13389227555085500,2.92
2023-06-01T20:09:01.000Z,0,0,6,5,1,1,1,12.006939604755300,2.91
2023-06-01T20:09:01.000Z,0,0,6,5,1,1,1,11.067833665385700,2.91
2023-06-01T20:09:01.000Z,0,0,6,5,1,1,1,14.724730779298200,2.91
2023-04-21T10:26:35.000Z,0,0,12,9,1,1,1,10.44200524160100,2.89
2023-04-21T10:26:35.000Z,0,0,12,9,1,1,1,11.178269579758700,2.89
2023-06-23T15:36:02.000Z,0,0,5,11,1,1,1,9.06254628895167,2.87
2023-02-26T17:22:38.000Z,0,1,16,15,1,1,1,8.098919123277840,2.87
2023-02-26T17:22:38.000Z,0,1,16,15,1,1,1,15.726308136395200,2.87
2023-09-30T18:14:43.000Z,0,0,5,13,1,1,1,0.11369431974101800,2.86
2023-07-25T18:58:39.000Z,0,0,6,8,6,1,1,14.165350454337400,2.86
2023-07-25T18:58:39.000Z,0,0,6,8,6,1,1,9.193692325730950,2.86
2023-07-25T18:58:39.000Z,0,0,6,8,6,1,1,14.870651031433700,2.86
2023-07-25T18:58:39.000Z,0,0,6,8,6,1,1,12.994664013223600,2.86
2023-07-02T16:15:12.000Z,0,0,11,20,1,1,-1,6.182843626568150,2.84
2023-08-31T15:52:45.000Z,0,0,6,11,1,1,-1,11.37871211790570,2.84
2023-08-31T15:52:45.000Z,0,0,6,11,1,1,-1,9.279560279969150,2.84
2023-08-05T16:43:55.000Z,0,1,4,12,1,1,1,2.672259614249730,2.83
2023-08-05T16:43:55.000Z,0,1,4,12,1,1,1,4.064383190525540,2.83
2023-03-03T17:21:59.000Z,0,0,5,27,1,-1,-1,6.9561008669623,2.82
2022-12-18T22:37:25.000Z,0,0,12,3,-1,1,-1,14.280923133334300,2.81
2023-05-09T13:45:52.000Z,0,0,2,11,1,1,1,11.17225906132020,2.76
2023-05-09T13:45:52.000Z,0,0,2,11,1,1,1,16.56363869059210,2.76
2023-05-09T13:45:52.000Z,0,0,2,11,1,1,1,10.126970759471500,2.76
2023-08-12T19:49:22.000Z,0,0,0,0,0,0,0,9.044524249579500,2.75
2023-05-03T16:05:59.000Z,0,0,1,11,1,1,1,17.548912393193500,2.73
2023-09-02T19:12:47.000Z,0,0,7,6,1,-1,-1,11.84118324409720,2.70
2023-06-24T22:46:52.000Z,0,0,5,12,1,1,1,15.783776058184900,2.70
2023-03-16T18:03:00.000Z,0,0,2,4,1,1,1,0.0,2.70
2023-10-19T20:46:23.000Z,0,0,14,5,1,1,-1,5.1116124543364600,2.67
2023-05-10T17:26:20.000Z,0,0,17,20,1,1,-1,5.4221194913708100,2.66
2023-10-05T18:21:18.000Z,1,0,10,21,1,1,-1,9.260746267310500,2.63
2023-05-18T17:27:09.000Z,1,0,2,37,-1,-1,-1,7.512138799230070,2.63
2023-04-22T14:53:38.000Z,0,0,7,18,1,-1,-1,2.1815628436420400,2.63
2023-04-06T16:04:51.000Z,0,0,5,25,1,-1,-1,7.043431350895950,2.63
2023-09-30T21:33:32.000Z,1,0,5,24,1,1,-1,5.82400437881928,2.63
2023-09-30T21:33:32.000Z,1,0,5,24,1,1,-1,10.117144719094300,2.63
2023-09-30T21:33:32.000Z,1,0,5,24,1,1,-1,5.3489679173331400,2.63
2023-01-22T21:16:45.000Z,0,0,7,5,1,1,1,8.819982603984310,2.60
2023-01-22T21:16:45.000Z,0,0,7,5,1,1,1,14.818045022275600,2.60
2023-01-22T21:16:45.000Z,0,0,7,5,1,1,1,8.509043102667130,2.60
2023-04-19T16:36:19.000Z,0,1,9,23,1,-1,-1,5.170622632738080,2.59
2023-03-09T16:29:25.000Z,0,1,10,25,1,-1,-1,5.271178917586740,2.59
2022-12-23T13:56:04.000Z,0,1,26,8,1,1,-1,4.498559407804790,2.59
2022-12-23T13:56:04.000Z,0,1,26,8,1,1,-1,5.459847270661580,2.59
2023-03-05T18:00:37.000Z,0,0,1,12,1,1,1,8.611612433790250,2.56
2023-10-01T08:55:50.000Z,1,0,7,19,1,1,-1,3.788707415988970,2.55
2023-04-24T07:51:19.000Z,0,1,24,12,-1,1,1,3.940404737060110,2.53
2023-05-04T21:01:39.000Z,0,0,30,13,1,1,1,0.36478853805782600,2.52
2023-06-24T12:18:26.000Z,0,0,1,16,-1,1,1,4.121219995938650,2.50
2023-02-12T21:04:04.000Z,0,1,21,12,1,1,1,16.846955474995800,2.50
2023-09-03T19:43:48.000Z,0,0,15,4,1,1,1,11.921223669182300,2.48
2023-09-04T14:30:55.000Z,0,1,35,9,1,1,1,25.259164375530800,2.48
2023-06-30T20:19:28.000Z,0,1,15,9,1,1,1,14.73877716309070,2.48
2023-07-14T01:00:28.000Z,0,1,18,6,1,1,1,13.22789589161390,2.48
2023-08-04T14:41:41.000Z,0,0,4,4,1,1,1,15.359642113101800,2.47
2023-06-06T16:58:26.000Z,0,0,3,21,1,1,-1,3.302674008550220,2.46
2023-05-16T20:56:39.000Z,0,1,5,2,1,1,1,4.743129531235340,2.46
